State,City,Population,Violent crime,Murder and non-negligent man-slaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,,
,Cottonwood,"10,490",76,1,4,9,62,763,156,557,50,3,,,,,,
,Douglas,"17,040",34,0,8,3,23,698,123,504,71,1,,,,,,
,El Mirage,"18,794",163,0,18,22,123,960,260,540,160,5,,,,,,
,Eloy,"11,121",127,0,6,19,102,911,362,449,100,20,,,,,,
,Flagstaff,"57,526",427,3,42,63,319,"4,365",555,"3,599",211,63,,,,,,
,Florence,"15,824",82,0,0,0,82,190,59,112,19,0,,,,,,
,Gilbert,"149,493",160,1,21,30,108,"5,346","1,505","3,304",537,30,,,,,,
,Glendale,"239,640","1,406",18,101,446,841,"13,595","2,588","7,240","3,767",58,,,,,,
,Goodyear,"32,902",75,1,8,9,57,"1,781",975,592,214,3,,,,,,
,Kingman,"23,543",89,0,11,20,58,"1,825",323,"1,333",169,6,,,,,,
,Lake Havasu City,"50,559",100,2,8,10,80,"1,932",327,"1,430",175,4,,,,,,
,Marana,"20,927",67,1,5,11,50,"1,160",184,852,124,2,,,,,,
,Mesa,"445,006","2,500",22,124,421,"1,933","23,364","3,682","15,937","3,745",52,,,,,,
,Nogales,"21,593",77,0,1,10,66,681,135,427,119,4,,,,,,
,Oro Valley,"35,359",27,0,5,5,17,673,94,525,54,2,,,,,,
,Paradise Valley,"14,583",17,1,4,4,8,465,271,161,33,0,,,,,,
,Payson,"14,719",32,0,5,2,25,410,51,344,15,2,,,,,,
,Peoria,"131,307",307,9,50,69,179,"5,678","1,037","3,576","1,065",18,,,,,,
,Phoenix,"1,428,973","9,465",202,490,"3,723","5,050","94,406","16,496","53,041","24,869",378,,,,,,
,Prescott,"38,674",132,1,5,19,107,"1,878",348,"1,404",126,20,,,,,,
,Prescott Valley,"29,047",114,0,16,8,90,805,114,643,48,8,,,,,,
,Scottsdale,"224,357",468,4,63,132,269,"8,998","2,087","5,593","1,318",32,,,,,,
,Sierra Vista,"41,005",123,1,8,22,92,"1,492",235,"1,146",111,5,,,,,,
,Surprise,"52,063",93,0,7,18,68,"1,954",347,"1,372",235,4,,,,,,
,Tempe,"163,521",980,8,86,263,623,"13,042","1,793","8,838","2,411",36,,,,,,
,Tucson,"522,487","4,873",55,387,"1,552","2,879","47,044","6,302","34,404","6,338",277,,,,,,
,Winslow,"10,111",76,2,10,10,54,663,82,550,31,5,,,,,,
,Yuma,"83,989",614,3,39,46,526,"3,667",654,"2,483",530,56,,,,,,
,,,,,,,,,,,,,,,,,,
ARKANSAS,Arkadelphia,"11,145",38,1,6,7,24,298,118,169,11,4,,,,,,
,Bentonville,"26,658",75,2,28,7,38,"1,030",136,851,43,2,,,,,,
,Blytheville,"17,261",206,2,10,42,152,"1,857",511,"1,269",77,19,,,,,,
,Bryant,"12,297",16,0,3,0,13,414,80,306,28,0,,,,,,
,Cabot,"18,327",39,0,3,3,33,757,166,560,31,0,,,,,,
,Camden,"12,644",69,2,4,16,47,605,201,374,30,3,,,,,,
,Conway,"48,312",125,3,30,31,61,"2,487",414,"1,921",152,3,,,,,,
,El Dorado,"21,055",165,3,4,31,127,"1,442",581,798,63,6,,,,,,
,Forrest City,"14,493",95,0,3,31,61,"1,102",248,803,51,1,,,,,,
,Fort Smith,"82,367",711,3,78,90,540,"6,048","1,068","4,693",287,32,,,,,,
,Harrison,"12,497",49,0,11,0,38,539,150,366,23,4,,,,,,
,Hope,"10,556",59,0,10,15,34,573,200,354,19,5,,,,,,
,Hot Springs,"37,133",442,7,17,90,328,"4,973","1,311","3,361",301,3,,,,,,
,Jacksonville,"30,693",184,1,10,30,143,"1,754",345,"1,303",106,3,,,,,,
,Little Rock,"185,870","3,048",40,118,902,"1,988","16,482","3,824","11,708",950,122,,,,,,
,Magnolia,"10,651",119,1,7,11,100,530,150,365,15,1,,,,,,
,Maumelle,"12,669",20,0,2,4,14,305,153,144,8,1,,,,,,
,Mountain Home,"11,518",13,0,7,1,5,401,21,370,10,1,,,,,,
,North Little Rock,"60,276",752,7,48,183,514,"5,395","1,031","3,939",425,22,,,,,,
,Pine Bluff,"54,437",594,9,41,163,381,"4,827","1,515","2,908",404,73,,,,,,
,Rogers,"43,218",86,1,36,13,36,"2,317",211,"2,040",66,4,,,,,,
,Searcy,"19,909",130,1,13,14,102,"1,039",134,847,58,1,,,,,,
,Sherwood,"22,329",103,0,4,10,89,728,122,541,65,0,,,,,,
,Siloam Springs,"12,829",33,0,6,2,25,410,53,334,23,0,,,,,,
,Springdale,"52,989",181,5,52,18,106,"2,263",268,"1,872",123,10,,,,,,
,Texarkana,"29,185",369,3,16,48,302,"1,660",364,"1,216",80,11,,,,,,
,Van Buren,"20,353",80,0,12,4,64,875,250,580,45,3,,,,,,
CALIFORNIA,Adelanto,"20,233",81,6,8,11,56,523,231,202,90,9,,,,,,
,Agoura Hills,"22,035",43,1,4,6,32,345,102,210,33,5,,,,,,
,Alameda,"72,633",342,1,12,89,240,"2,231",376,"1,522",333,15,,,,,,
,Albany,"16,589",42,1,3,29,9,718,130,446,142,8,,,,,,
,Alhambra,"88,766",251,2,17,115,117,"2,403",474,"1,427",502,27,,,,,,
,Aliso Viejo,"40,917",34,0,2,5,27,495,88,366,41,7,,,,,,
,American Canyon,"13,287",27,0,7,10,10,326,73,202,51,1,,,,,,
,Anaheim,"336,195","1,530",10,102,493,925,"10,249","1,912","6,388","1,949",31,,,,,,
,Anderson,"10,008",69,1,4,5,59,514,166,304,44,3,,,,,,
,Antioch,"102,291",527,6,31,175,315,"3,106",715,"1,346","1,045",40,,,,,,
,Apple Valley,"60,769",228,3,17,64,144,"2,019",542,"1,143",334,18,,,,,,
,Arcadia,"56,083",133,4,4,56,69,"1,571",388,"1,044",139,2,,,,,,
,Arcata,"17,086",48,1,4,15,28,805,180,570,55,5,,,,,,
,Arroyo Grande,"16,562",31,1,5,5,20,412,79,310,23,2,,,,,,
,Artesia,"17,006",112,1,2,43,66,367,103,177,87,3,,,,,,
,Arvin,"14,171",40,1,0,10,29,617,128,439,50,25,,,,,,
,Atascadero,"27,327",110,0,11,7,92,696,150,502,44,5,,,,,,
,Atwater,"26,821",166,1,5,14,146,"1,036",226,657,153,9,,,,,,
,Auburn,"12,666",49,0,2,3,44,407,84,265,58,5,,,,,,
,Avenal,"15,995",37,1,2,6,28,217,84,124,9,3,,,,,,
,Azusa,"47,504",208,3,11,90,104,"1,496",294,947,255,6,,,,,,
,Bakersfield,"274,162","1,948",23,56,527,"1,342","15,075","3,023","9,807","2,245",179,,,,,,
,Baldwin Park,"79,655",311,3,14,99,195,"1,908",416,868,624,14,,,,,,
,Banning,"27,599",111,2,11,24,74,772,306,347,119,0,,,,,,
,Barstow,"23,339",264,0,11,54,199,"1,074",298,548,228,7,,,,,,
,Beaumont,"15,257",54,1,3,9,41,443,82,280,81,3,,,,,,
,Bell,"38,129",155,2,18,52,83,473,148,154,171,0,,,,,,
,Bellflower,"75,727",481,3,22,218,238,"2,666",550,"1,317",799,23,,,,,,
,Bell Gardens,"46,016",247,2,14,90,141,782,130,287,365,1,,,,,,
,Belmont,"24,782",19,0,2,13,4,573,90,413,70,0,,,,,,
,Benicia,"27,252",67,1,4,10,52,480,150,246,84,3,,,,,,
,Berkeley,"103,226",557,4,17,355,181,"8,611","1,382","6,101","1,128",59,,,,,,
,Beverly Hills,"35,344",137,0,12,82,43,"1,143",317,765,61,7,,,,,,
,Blythe,"21,929",219,2,10,23,184,903,236,610,57,23,,,,,,
,Brawley,"22,264",148,3,1,18,126,"1,142",340,660,142,15,,,,,,
,Brea,"38,326",89,0,6,48,35,"1,633",261,"1,201",171,5,,,,,,
,Brentwood,"36,652",87,4,9,16,58,"1,130",191,779,160,7,,,,,,
,Buena Park,"79,845",317,3,15,106,193,"2,146",414,"1,194",538,19,,,,,,
,Burbank,"104,551",262,4,14,82,162,"2,845",510,"1,870",465,10,,,,,,
,Burlingame,"27,703",64,0,5,23,36,"1,003",164,716,123,6,,,,,,
,Calabasas,"21,130",27,0,1,13,13,317,95,203,19,1,,,,,,
,Calexico,"32,892",62,1,5,31,25,"1,119",369,334,416,5,,,,,,
,California City,"11,350",19,0,0,4,15,322,104,192,26,4,,,,,,
,Camarillo,"61,142",100,0,5,21,74,"1,130",279,743,108,18,,,,,,
,Campbell,"37,578",66,1,7,19,39,"1,253",247,901,105,18,,,,,,
,Canyon Lake,"11,067",26,0,4,0,22,177,40,112,25,0,,,,,,
,Carlsbad,"88,380",270,2,13,42,213,"2,163",457,"1,476",230,8,,,,,,
,Carpinteria,"14,199",16,0,1,1,14,179,61,109,9,1,,,,,,
,Carson,"94,828",622,8,24,192,398,"2,658",598,"1,422",638,31,,,,,,
,Cathedral City,"49,088",239,1,16,53,169,"2,238",676,960,602,1,,,,,,
,Ceres,"38,264",171,2,10,52,107,"2,320",314,"1,435",571,11,,,,,,
,Cerritos,"53,409",166,3,3,73,87,"2,160",335,"1,448",377,12,,,,,,
,Chico,"68,288",251,3,50,71,127,"2,788",717,"1,532",539,76,,,,,,
,Chino,"72,758",256,0,11,109,136,"2,463",460,"1,570",433,33,,,,,,
,Chino Hills,"74,738",76,2,8,13,53,"1,088",257,673,158,6,,,,,,
,Chowchilla,"14,685",29,0,4,3,22,312,120,163,29,6,,,,,,
,Chula Vista,"201,356",838,15,50,296,477,"7,214","1,184","3,987","2,043",39,,,,,,
,Claremont,"35,367",78,2,4,26,46,904,291,538,75,1,,,,,,
,Clayton,"11,169",3,0,0,1,2,258,24,210,24,1,,,,,,
,Clearlake,"14,389",80,0,4,11,65,872,198,557,117,13,,,,,,
,Clovis,"79,464",169,0,15,38,116,"3,465",645,"2,438",382,32,,,,,,
,Coachella,"28,344",249,1,6,43,199,"1,538",316,873,349,9,,,,,,
,Coalinga,"16,287",46,0,5,2,39,452,144,276,32,5,,,,,,
,Colton,"51,186",245,8,16,112,109,"2,179",491,"1,084",604,15,,,,,,
,Commerce,"13,445",150,3,7,51,89,"1,129",149,547,433,19,,,,,,
,Compton,"96,941","1,564",39,28,466,"1,031","2,546",611,967,968,110,,,,,,
,Concord,"126,419",393,5,28,129,231,"5,980",992,"3,764","1,224",15,,,,,,
,Corcoran,"21,835",34,0,1,7,26,216,84,113,19,5,,,,,,
,Corona,"144,097",269,5,19,116,129,"4,527",901,"2,796",830,57,,,,,,
,Coronado,"24,058",41,0,10,15,16,658,115,455,88,1,,,,,,
,Costa Mesa,"110,827",284,3,41,113,127,"3,690",495,"2,747",448,15,,,,,,
,Covina,"48,716",199,0,11,97,91,"2,178",399,"1,380",399,2,,,,,,
,Cudahy,"25,527",124,1,8,46,69,491,72,212,207,6,,,,,,
,Culver City,"40,247",149,0,3,113,33,"1,210",223,825,162,0,,,,,,
,Cupertino,"51,061",60,0,7,12,41,985,233,700,52,19,,,,,,
,Cypress,"47,760",63,1,7,31,24,971,140,706,125,12,,,,,,
,Daly City,"101,982",318,3,19,123,173,"2,335",209,"1,595",531,9,,,,,,
,Dana Point,"36,157",60,1,3,9,47,578,120,390,68,8,,,,,,
,Danville,"43,038",49,0,6,13,30,755,116,593,46,4,,,,,,
,Davis,"65,090",265,1,23,45,196,"1,951",452,"1,281",218,23,,,,,,
,Delano,"43,295",271,6,7,43,215,"2,368",884,913,571,56,,,,,,
,Desert Hot Springs,"18,109",255,3,11,52,189,"1,535",574,729,232,0,,,,,,
,Diamond Bar,"58,831",75,1,1,28,45,902,240,482,180,11,,,,,,
,Dinuba,"18,077",142,1,4,21,116,"1,051",215,672,164,4,,,,,,
,Dixon,"16,397",64,0,3,13,48,846,152,627,67,6,,,,,,
,Downey,"111,633",449,0,19,238,192,"3,771",548,"2,110","1,113",44,,,,,,
,Duarte,"22,452",93,3,3,28,59,595,113,352,130,4,,,,,,
,Dublin,"35,991",83,0,8,14,61,806,136,528,142,3,,,,,,
,East Palo Alto,"32,283",323,7,23,104,189,"1,202",293,554,355,0,,,,,,
,El Cajon,"96,257",545,7,21,164,353,"4,259",815,"2,354","1,090",31,,,,,,
,El Centro,"38,423",328,0,17,61,250,"1,738",642,878,218,3,,,,,,
,El Cerrito,"23,608",145,0,1,97,47,"1,503",273,947,283,5,,,,,,
,El Monte,"123,144",794,7,32,234,521,"3,283",722,"1,604",957,17,,,,,,
,El Segundo,"16,673",40,0,2,22,16,687,137,459,91,2,,,,,,
,Encinitas,"61,036",150,2,15,38,95,"1,251",285,801,165,6,,,,,,
,Escondido,"137,663",676,3,22,198,453,"5,655",785,"3,294","1,576",35,,,,,,
,Eureka,"26,106",166,2,16,61,87,"2,245",444,"1,478",323,22,,,,,,
,Fairfield,"103,947",754,3,42,214,495,"4,633",738,"3,276",619,35,,,,,,
,Fillmore,"15,121",43,1,0,8,34,258,72,163,23,0,,,,,,
,Folsom,"63,350",84,0,9,19,56,"1,602",286,"1,162",154,13,,,,,,
,Fontana,"153,655",791,9,51,236,495,"3,519",725,"1,381","1,413",23,,,,,,
,Fortuna,"10,993",28,0,7,3,18,459,67,373,19,4,,,,,,
,Foster City,"29,199",34,0,3,2,29,405,77,281,47,9,,,,,,
,Fountain Valley,"56,390",69,0,5,31,33,"1,431",252,"1,013",166,6,,,,,,
,Fremont,"206,884",454,5,24,165,260,"5,723",939,"3,903",881,21,,,,,,
,Fresno,"456,663","3,496",53,181,"1,232","2,030","26,360","3,994","17,119","5,247",416,,,,,,
,Fullerton,"132,763",391,1,38,152,200,"4,579",761,"3,146",672,31,,,,,,
,Galt,"22,838",51,0,2,16,33,977,270,545,162,8,,,,,,
,Gardena,"60,632",489,5,13,263,208,"1,824",531,855,438,7,,,,,,
,Garden Grove,"168,956",658,10,33,174,441,"4,573",774,"2,851",948,43,,,,,,
,Gilroy,"44,322",181,0,21,44,116,"1,561",195,"1,188",178,11,,,,,,
,Glendale,"202,812",270,5,11,133,121,"3,817",737,"2,419",661,38,,,,,,
,Glendora,"51,440",73,0,5,42,26,"1,305",228,908,169,8,,,,,,
,Goleta,"28,851",43,1,7,9,26,490,131,318,41,11,,,,,,
,Grand Terrace,"12,346",16,0,2,8,6,294,68,156,70,2,,,,,,
,Grass Valley,"11,763",71,1,5,12,53,491,89,337,65,6,,,,,,
,Greenfield,"13,102",75,2,1,45,27,511,154,312,45,0,,,,,,
,Grover Beach,"13,180",32,0,7,5,20,410,90,274,46,2,,,,,,
,Half Moon Bay,"12,283",20,1,0,7,12,280,64,206,10,1,,,,,,
,Hanford,"45,891",191,2,13,42,134,"2,050",267,"1,550",233,17,,,,,,
,Hawaiian Gardens,"15,534",134,1,5,46,82,583,94,339,150,6,,,,,,
,Hawthorne,"87,167",435,9,27,154,245,"2,582",997,804,781,12,,,,,,
,Hayward,"142,966",588,9,30,290,259,"5,043",863,"2,484","1,696",49,,,,,,
,Healdsburg,"11,316",28,0,0,7,21,405,154,223,28,0,,,,,,
,Hemet,"65,794",388,4,26,140,218,"3,167",875,"1,850",442,12,,,,,,
,Hercules,"21,851",38,1,0,7,30,717,195,350,172,5,,,,,,
,Hermosa Beach,"19,653",63,0,5,19,39,538,137,359,42,0,,,,,,
,Hesperia,"69,977",170,0,8,61,101,"1,818",442,916,460,14,,,,,,
,Highland,"49,076",189,5,10,85,89,"1,434",314,739,381,11,,,,,,
,Hillsborough,"10,700",3,1,0,1,1,80,26,50,4,1,,,,,,
,Hollister,"36,977",185,0,18,29,138,933,200,629,104,8,,,,,,
,Huntington Beach,"196,489",421,6,42,109,264,"4,472",858,"3,096",518,45,,,,,,
,Huntington Park,"63,867",506,7,15,295,189,"2,785",251,"1,384","1,150",13,,,,,,
,Imperial Beach,"27,464",190,1,8,48,133,895,236,456,203,23,,,,,,
,Indio,"58,913",353,4,18,127,204,"3,428",844,"1,763",821,1,,,,,,
,Inglewood,"116,537",920,26,44,461,389,"2,772",758,"1,144",870,17,,,,,,
,Irvine,"172,529",135,2,21,43,69,"3,753",940,"2,530",283,26,,,,,,
,King City,"11,454",37,0,1,18,18,552,198,325,29,1,,,,,,
,Kingsburg,"10,625",29,0,4,4,21,445,81,285,79,2,,,,,,
,La Canada Flintridge,"21,222",38,1,0,18,19,356,106,222,28,4,,,,,,
,Lafayette,"24,857",34,0,9,16,9,842,171,610,61,1,,,,,,
,Laguna Beach,"24,404",28,0,4,2,22,585,140,392,53,4,,,,,,
,Laguna Hills,"32,552",58,1,4,14,39,762,128,579,55,9,,,,,,
,Laguna Niguel,"65,068",76,1,4,19,52,766,142,580,44,9,,,,,,
,Laguna Woods,"18,169",2,0,0,1,1,111,9,87,15,0,,,,,,
,La Habra,"60,392",212,0,9,69,134,"1,887",290,"1,274",323,36,,,,,,
,Lake Elsinore,"35,317",130,1,8,31,90,"1,384",329,742,313,3,,,,,,
,Lake Forest,"77,623",120,0,8,32,80,"1,130",227,793,110,11,,,,,,
,Lakewood,"82,238",380,2,10,186,182,"3,031",499,"2,034",498,16,,,,,,
,La Mesa,"55,201",200,0,10,72,118,"2,212",393,"1,285",534,5,,,,,,
,La Mirada,"49,451",150,2,5,36,107,"1,221",243,703,275,10,,,,,,
,Lancaster,"127,348","1,091",15,46,321,709,"4,371","1,068","2,236","1,067",51,,,,,,
,La Palma,"16,086",16,0,2,10,4,355,97,221,37,7,,,,,,
,La Puente,"42,629",219,4,6,75,134,826,170,368,288,18,,,,,,
,La Quinta,"32,510",94,1,4,16,73,"1,725",482,"1,072",171,4,,,,,,
,La Verne,"33,386",96,0,7,31,58,887,188,624,75,7,,,,,,
,Lawndale,"32,865",201,1,6,80,114,684,177,299,208,10,,,,,,
,Lemon Grove,"25,223",170,1,7,47,115,914,233,453,228,5,,,,,,
,Lemoore,"21,833",79,1,11,5,62,596,92,437,67,2,,,,,,
,Lincoln,"23,346",67,0,5,4,58,737,161,506,70,8,,,,,,
,Lindsay,"10,733",92,0,2,9,81,526,155,260,111,3,,,,,,
,Livermore,"78,641",140,2,18,25,95,"1,880",425,"1,195",260,19,,,,,,
,Livingston,"11,616",63,0,4,9,50,344,107,173,64,0,,,,,,
,Lodi,"61,731",279,1,30,49,199,"2,995",344,"1,991",660,10,,,,,,
,Loma Linda,"20,321",36,1,2,24,9,725,205,368,152,8,,,,,,
,Lomita,"20,785",69,0,4,16,49,495,102,318,75,5,,,,,,
,Lompoc,"41,642",232,0,15,41,176,"1,393",244,"1,044",105,20,,,,,,
,Long Beach,"480,945","3,755",48,137,"1,533","2,037","14,508","3,245","7,437","3,826",190,,,,,,
,Los Alamitos,"11,832",27,0,2,11,14,411,105,260,46,7,,,,,,
,Los Altos,"27,486",10,0,3,3,4,284,95,173,16,4,,,,,,
,Los Angeles,"3,864,018","42,786",518,"1,131","14,181","26,956","125,200","23,182","72,045","29,973","1,926",,,,,,
,Los Banos,"30,890",265,0,10,20,235,"1,375",304,924,147,8,,,,,,
,Los Gatos,"28,299",32,1,5,2,24,571,114,417,40,20,,,,,,
,Lynwood,"72,445",664,18,15,229,402,"1,803",346,659,798,32,,,,,,
,Madera,"48,505",385,5,20,132,228,"1,856",393,"1,065",398,3,,,,,,
,Malibu,"13,376",41,0,3,6,32,310,81,197,32,7,,,,,,
,Manhattan Beach,"36,422",86,0,3,31,52,900,212,602,86,2,,,,,,
,Manteca,"60,186",250,2,11,76,161,"3,199",492,"1,914",793,30,,,,,,
,Marina,"19,137",67,2,7,26,32,557,145,341,71,2,,,,,,
,Martinez,"37,017",97,0,9,13,75,"1,559",286,"1,063",210,0,,,,,,
,Marysville,"12,642",98,1,14,16,67,666,125,440,101,1,,,,,,
,Maywood,"29,083",153,5,11,61,76,418,61,186,171,3,,,,,,
,Menlo Park,"30,155",78,3,8,37,30,779,165,544,70,3,,,,,,
,Merced,"70,314",602,12,29,147,414,"4,774",717,"3,392",665,47,,,,,,
,Millbrae,"20,271",36,1,3,15,17,408,64,266,78,2,,,,,,
,Mill Valley,"13,573",14,0,2,3,9,255,59,170,26,3,,,,,,
,Milpitas,"63,809",195,0,21,35,139,"2,246",322,"1,625",299,8,,,,,,
,Mission Viejo,"96,936",120,1,4,34,81,"1,312",228,"1,001",83,15,,,,,,
,Modesto,"209,258","1,291",19,67,395,810,"14,372","1,857","9,623","2,892",100,,,,,,
,Monrovia,"38,434",144,3,15,53,73,"1,132",137,811,184,0,,,,,,
,Montclair,"35,177",242,4,12,82,144,"2,214",262,"1,479",473,5,,,,,,
,Montebello,"64,482",293,6,10,132,145,"2,063",273,"1,197",593,38,,,,,,
,Monterey,"30,306",186,0,15,29,142,"1,305",248,985,72,2,,,,,,
,Monterey Park,"62,931",163,1,6,97,59,"1,498",275,715,508,2,,,,,,
,Moorpark,"35,574",40,1,3,6,30,368,101,237,30,5,,,,,,
,Moraga,"16,894",17,0,0,3,14,232,34,174,24,7,,,,,,
,Moreno Valley,"158,875",803,9,50,355,389,"6,171","1,561","3,492","1,118",14,,,,,,
,Morgan Hill,"34,522",50,0,8,19,23,949,180,685,84,30,,,,,,
,Morro Bay,"10,492",19,0,2,2,15,187,39,139,9,0,,,,,,
,Mountain View,"70,166",263,1,13,54,195,"1,973",229,"1,542",202,10,,,,,,
,Murrieta,"67,499",90,1,14,26,49,"1,391",439,767,185,16,,,,,,
,Napa,"76,432",328,2,28,37,261,"2,443",306,"1,911",226,19,,,,,,
,National City,"58,964",421,5,16,139,261,"2,834",390,"1,544",900,15,,,,,,
,Newark,"43,539",142,0,8,56,78,"2,049",294,"1,454",301,6,,,,,,
,Newport Beach,"78,943",124,1,12,28,83,"2,389",596,"1,640",153,4,,,,,,
,Norco,"26,568",113,0,5,26,82,975,231,627,117,6,,,,,,
,Norwalk,"108,391",547,2,19,182,344,"2,983",608,"1,444",931,21,,,,,,
,Novato,"48,941",68,1,9,16,42,"1,313",260,863,190,26,,,,,,
,Oakdale,"17,641",47,2,6,10,29,"1,274",416,689,169,4,,,,,,
,Oakland,"403,445","5,151",83,262,"2,190","2,616","22,185","4,324","10,984","6,877",266,,,,,,
,Oakley,"26,653",71,0,5,12,54,904,127,596,181,4,,,,,,
,Oceanside,"169,009","1,022",8,77,289,648,"6,115","1,125","4,166",824,33,,,,,,
,Ontario,"169,333",990,7,88,352,543,"7,091",980,"4,053","2,058",69,,,,,,
,Orange,"133,722",239,1,7,95,136,"3,529",488,"2,474",567,29,,,,,,
,Orinda,"18,300",12,0,3,5,4,331,66,238,27,1,,,,,,
,Oroville,"13,289",201,0,15,22,164,"1,106",358,573,175,2,,,,,,
,Oxnard,"182,959",772,18,24,370,360,"5,022",904,"3,079","1,039",66,,,,,,
,Pacifica,"37,721",61,0,5,12,44,669,116,456,97,6,,,,,,
,Pacific Grove,"15,622",18,0,3,3,12,341,89,237,15,6,,,,,,
,Palmdale,"129,233",996,10,55,308,623,"4,186","1,009","2,352",825,50,,,,,,
,Palm Desert,"46,150",165,1,11,41,112,"2,972",861,"1,871",240,4,,,,,,
,Palm Springs,"45,750",387,4,17,107,259,"3,435",852,"1,984",599,28,,,,,,
,Palo Alto,"57,893",89,2,12,38,37,"1,947",290,"1,526",131,14,,,,,,
,Palos Verdes Estates,"13,987",10,0,0,1,9,127,44,76,7,0,,,,,,
