State,City by state,Population,Crime Index  ,Modified Crime Index1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,
,Oxford,"14,722","1,317",,0,2,33,49,173,939,121,,,,,,
,Pelham,"14,496",398,399,0,0,7,2,37,327,25,1,,,,,
,Phenix City,"28,516","1,156",,0,5,39,81,279,638,114,,,,,,
,Prattville,"24,518","1,393",,0,19,36,50,176,"1,062",50,,,,,,
,Prichard,"28,886","2,925",,7,19,180,279,771,"1,279",390,,,,,,
,Scottsboro,"14,892",541,,0,2,2,13,108,391,25,,,,,,
,Selma,"20,694","3,158",,2,33,97,237,840,"1,737",212,,,,,,
,Talladega,"15,277","1,439",,1,12,34,23,243,"1,052",74,,,,,,
,Troy,"14,058",970,,0,1,23,41,167,701,37,,,,,,
,Trussville,"13,038",733,,0,1,20,20,73,592,27,,,,,,
,Tuscaloosa,"78,596","5,774","5,791",5,49,185,230,"1,012","4,036",257,17,,,,,
,Tuskegee,"11,951","1,343",,1,9,30,43,353,839,68,,,,,,
,Vestavia Hills,"24,693",323,,0,2,4,16,61,214,26,,,,,,
ALASKA,Anchorage,"267,280","13,670","13,811",18,254,382,"1,067","1,521","9,255","1,173",141,,,,,
,Fairbanks,"31,037","1,606","1,611",3,37,33,211,226,964,132,5,,,,,
ARIZONA,Apache Junction,"33,834","1,908","1,913",0,4,20,84,514,"1,082",204,5,,,,,
,Camp Verde,"10,051",380,380,1,2,4,27,61,263,22,0,,,,,
,Casa Grande,"26,826","2,173",,2,0,15,241,582,"1,158",175,,,,,,
,Chandler,"187,795","11,204","11,267",3,46,149,321,"1,893","7,447","1,345",63,,,,,
,Flagstaff,"56,253","5,597","5,613",1,48,62,424,720,"4,042",300,16,,,,,
,Gilbert,"116,663","5,284","5,330",5,23,44,112,"1,378","3,249",473,46,,,,,
,Glendale,"232,707","15,475","15,566",17,65,405,866,"2,438","7,889","3,795",91,,,,,
,Goodyear,"20,112","1,239","1,241",1,8,14,55,524,429,208,2,,,,,
,Kingman,"21,344","1,975","1,979",1,13,15,55,409,"1,347",135,4,,,,,
,Lake Havasu City,"44,601","1,819","1,832",1,1,2,78,323,"1,272",142,13,,,,,
,Marana,"14,417","1,214","1,219",0,4,17,9,134,913,137,5,,,,,
,Mesa,"421,547","33,335","33,402",22,129,590,"2,146","4,957","20,405","5,086",67,,,,,
,Nogales,"22,204",921,922,0,1,11,63,152,575,119,1,,,,,
,Oro Valley,"31,586",523,525,0,2,3,16,52,413,37,2,,,,,
,Paradise Valley,"14,532",546,546,0,0,1,5,346,155,39,0,,,,,
,Payson,"14,485",531,539,1,3,1,29,75,405,17,8,,,,,
,Peoria,"115,245","5,877","5,892",0,34,64,184,955,"3,439","1,201",15,,,,,
,Phoenix,"1,404,938","109,916","110,417",177,410,"4,075","5,561","16,855","57,214","25,624",501,,,,,
,Prescott,"36,093","2,034","2,049",2,7,19,113,339,"1,391",163,15,,,,,
,Prescott Valley,"25,030",976,983,0,2,2,81,131,690,70,7,,,,,
,Scottsdale,"215,578","10,134","10,185",1,63,171,248,"2,786","5,487","1,378",51,,,,,
,Sierra Vista,"40,174","1,660","1,672",1,6,15,101,187,"1,248",102,12,,,,,
,Surprise,"32,807","1,220","1,226",1,1,13,60,245,750,150,6,,,,,
,Tempe,"168,699","17,819","17,860",10,75,344,811,"2,360","11,004","3,215",41,,,,,
,Tucson,"517,607","50,171","50,499",47,338,"1,350","2,974","6,717","32,539","6,206",328,,,,,
,Winslow,"10,124",652,662,0,7,4,60,72,490,19,10,,,,,
,Yuma,"82,437",,,2,32,42,,598,"2,199",389,30,,,,,
ARKANSAS,Benton,"22,207","1,565","1,571",1,8,13,79,376,"1,027",61,6,,,,,
,Bentonville,"20,001",881,883,0,15,2,25,272,542,25,2,,,,,
,Blytheville,"18,523","1,969","1,976",3,9,49,256,382,"1,194",76,7,,,,,
,Cabot,"15,471","1,020","1,022",0,1,1,39,88,871,20,2,,,,,
,Conway,"43,759","2,463","2,467",4,23,20,43,269,"2,046",58,4,,,,,
,El Dorado,"21,826","1,517","1,519",1,9,41,125,439,791,111,2,,,,,
,Fayetteville,"58,843","3,027","3,042",0,42,31,149,355,"2,352",98,15,,,,,
,Fort Smith,"81,369","7,498","7,531",8,52,152,502,"1,183","5,296",305,33,,,,,
,Harrison,"12,319",528,529,0,5,4,12,70,412,25,1,,,,,
,Jacksonville,"30,326","1,731","1,732",0,7,34,99,328,"1,194",69,1,,,,,
,Jonesboro,"56,276","3,252","3,256",2,8,72,179,507,"2,324",160,4,,,,,
,Little Rock,"185,646","20,680","20,828",41,116,884,"1,370","4,826","11,930","1,513",148,,,,,
,Magnolia,"11,007",677,680,0,4,17,167,106,365,18,3,,,,,
,Maumelle,"10,702",171,171,0,2,3,8,57,88,13,0,,,,,
,Mountain Home,"11,163",249,249,0,0,0,4,15,226,4,0,,,,,
,North Little Rock,"61,262","5,840","5,855",6,47,179,288,657,"4,207",456,15,,,,,
,Pine Bluff,"55,841","5,286","5,337",10,47,230,463,"1,012","3,116",408,51,,,,,
,Russellville,"24,007","1,302","1,302",0,8,6,153,165,916,54,0,,,,,
,Searcy,"19,188","1,049","1,050",0,2,7,11,83,897,49,1,,,,,
,Siloam Springs,"10,991",455,456,0,1,1,21,41,377,14,1,,,,,
,Springdale,"46,426","2,197","2,213",1,24,175,116,362,"1,447",72,16,,,,,
,Texarkana,"26,811","1,916","1,928",2,10,35,136,285,"1,349",99,12,,,,,
,Van Buren,"19,246",754,756,0,6,4,28,105,575,36,2,,,,,
CALIFORNIA,Adelanto,"18,796",623,632,1,4,15,87,223,197,96,9,,,,,
,Agoura Hills,"21,292",356,358,0,6,11,18,114,171,36,2,,,,,
,Alameda,"74,914","2,928","2,949",2,9,90,198,408,"1,884",337,21,,,,,
,Albany,"17,048",831,834,0,3,41,4,154,496,133,3,,,,,
,Alhambra,"88,956","2,594","2,611",2,11,142,73,502,"1,334",530,17,,,,,
,Aliso Viejo,"41,641",624,628,0,3,8,35,100,444,34,4,,,,,
,American Canyon,"10,133",312,314,0,0,8,9,86,166,43,2,,,,,
,Anaheim,"340,065","12,198","12,248",17,80,465,827,"1,995","6,945","1,869",50,,,,,
,Antioch,"93,858","3,418","3,473",1,23,187,473,553,"1,365",816,55,,,,,
,Apple Valley,"56,232","2,241","2,259",4,13,69,162,593,"1,162",238,18,,,,,
,Arcadia,"55,004","1,622","1,628",2,6,69,73,382,947,143,6,,,,,
,Arcata,"17,262",809,818,2,3,20,22,143,584,35,9,,,,,
,Arroyo Grande,"16,433",411,413,0,4,5,14,63,302,23,2,,,,,
,Artesia,"16,981",583,592,4,6,46,71,119,232,105,9,,,,,
,Arvin,"13,432",515,537,1,19,23,35,129,264,44,22,,,,,
,Atascadero,"27,381",922,931,1,13,14,61,185,592,56,9,,,,,
,Atwater,"23,962","1,156","1,165",0,4,17,140,376,513,106,9,,,,,
,Auburn,"12,920",375,377,0,3,7,32,52,253,28,2,,,,,
,Avenal,"15,213",190,205,0,3,9,22,75,72,9,15,,,,,
,Azusa,"46,355","1,475","1,487",5,15,73,90,320,748,224,12,,,,,
,Bakersfield,"256,134","11,846","11,995",22,47,355,647,"2,436","6,941","1,398",149,,,,,
,Baldwin Park,"78,623","1,908","1,915",6,19,101,174,364,751,493,7,,,,,
,Banning,"24,428",708,708,3,5,19,150,230,191,110,0,,,,,
,Barstow,"21,894","1,050","1,052",3,14,57,100,244,479,153,2,,,,,
,Beaumont,"11,802",450,453,0,5,14,33,106,229,63,3,,,,,
,Bell,"38,011",874,877,2,12,83,148,118,262,249,3,,,,,
,Bellflower,"75,555","2,954","2,983",1,18,222,216,542,"1,266",689,29,,,,,
,Bell Gardens,"45,673","1,243","1,248",4,12,107,196,192,390,342,5,,,,,
,Belmont,"26,046",553,553,0,10,10,70,199,224,40,0,,,,,
,Benicia,"27,852",552,561,0,4,14,28,139,309,58,9,,,,,
,Berkeley,"106,518","10,271","10,319",7,28,407,287,"1,514","6,687","1,341",48,,,,,
,Beverly Hills,"35,025","1,333","1,335",1,2,80,50,316,822,62,2,,,,,
,Blythe,"12,602",849,860,1,7,14,118,206,460,43,11,,,,,
,Brawley,"22,862","1,057","1,062",1,1,29,107,232,566,121,5,,,,,
,Brea,"36,711","1,532","1,534",0,4,41,27,260,"1,058",142,2,,,,,
,Brentwood,"24,158","1,046","1,062",0,7,14,61,177,673,114,16,,,,,
,Buena Park,"81,158","2,371","2,395",4,20,90,122,441,"1,233",461,24,,,,,
,Burbank,"104,001","3,216","3,240",1,10,100,162,501,"1,851",591,24,,,,,
,Burlingame,"29,193","1,010","1,011",2,5,24,50,139,694,96,1,,,,,
,Calabasas,"20,769",348,352,0,3,7,33,90,186,29,4,,,,,
,Calexico,"28,105","1,110","1,123",1,3,35,31,302,398,340,13,,,,,
,Camarillo,"59,174","1,091","1,105",1,12,27,82,152,749,68,14,,,,,
,Campbell,"39,540","1,176","1,191",0,19,20,40,208,783,106,15,,,,,
,Canyon Lake,"10,317",156,157,0,0,0,12,33,95,16,1,,,,,
,Capitola,"10,402",984,985,0,12,17,38,102,787,28,1,,,,,
,Carlsbad,"81,122","2,273","2,286",1,16,49,144,426,"1,396",241,13,,,,,
,Carpinteria,"14,715",236,238,0,3,8,17,48,151,9,2,,,,,
,Carson,"93,027","3,446","3,476",13,21,209,502,606,"1,392",703,30,,,,,
,Cathedral City,"44,214","1,932","1,932",7,7,53,152,495,807,411,0,,,,,
,Ceres,"35,881","2,470","2,479",2,5,53,129,435,"1,424",422,9,,,,,
,Cerritos,"53,380","2,430","2,442",1,3,86,105,398,"1,396",441,12,,,,,
,Chico,"62,157","2,665","2,738",2,47,75,146,647,"1,242",506,73,,,,,
,Chino,"69,635","2,464","2,511",1,12,101,210,468,"1,244",428,47,,,,,
,Chino Hills,"69,241","1,140","1,149",0,3,20,53,207,718,139,9,,,,,
,Chowchilla,"11,535",440,461,0,3,5,24,115,249,44,21,,,,,
,Chula Vista,"179,932","7,463","7,549",5,50,257,579,"1,068","3,733","1,771",86,,,,,
,Claremont,"35,248","1,075","1,085",0,3,35,49,282,621,85,10,,,,,
,Clayton,"11,158",162,163,0,0,2,0,30,115,15,1,,,,,
,Clearlake,"13,625",914,919,2,14,8,45,275,477,93,5,,,,,
,Clovis,"70,983","3,242","3,269",0,15,40,62,573,"2,111",441,27,,,,,
,Coachella,"23,559","1,165","1,173",2,2,44,118,294,506,199,8,,,,,
,Coalinga,"12,097",414,415,0,4,4,18,83,281,24,1,,,,,
,Colton,"49,413","2,286","2,298",3,15,103,94,490,"1,083",498,12,,,,,
,Commerce,"13,029","1,289","1,303",7,9,81,96,138,562,396,14,,,,,
,Compton,"96,928","4,530","4,666",52,37,482,"1,239",738,"1,188",794,136,,,,,
,Concord,"126,254","5,661","5,665",3,22,143,260,767,"3,490",976,4,,,,,
,Corcoran,"14,989",405,412,0,4,3,46,114,207,31,7,,,,,
,Corona,"129,557","4,430","4,463",8,24,169,148,736,"2,551",794,33,,,,,
,Coronado,"24,986",403,405,0,7,7,9,101,233,46,2,,,,,
,Costa Mesa,"112,718","3,826","3,842",2,14,98,156,511,"2,620",425,16,,,,,
,Covina,"48,558","2,267","2,273",2,9,78,109,373,"1,359",337,6,,,,,
,Cudahy,"25,097",671,674,3,7,40,154,91,190,186,3,,,,,
,Culver City,"40,242","1,448","1,448",0,3,101,28,183,971,162,0,,,,,
,Cupertino,"52,403","1,218","1,226",0,5,25,48,200,904,36,8,,,,,
,Cypress,"47,928","1,090","1,098",0,8,29,42,190,705,116,8,,,,,
,Daly City,"107,428","2,199","2,210",2,27,113,160,221,"1,232",444,11,,,,,
,Dana Point,"36,399",687,691,0,4,17,44,106,455,61,4,,,,,
,Danville,"43,248",647,650,1,6,5,3,88,515,29,3,,,,,
,Davis,"62,524","1,864","1,918",0,16,31,81,331,"1,155",250,54,,,,,
,Delano,"40,250","2,412","2,456",1,8,51,23,370,"1,531",428,44,,,,,
,Desert Hot Springs,"17,191","1,581","1,581",2,31,55,175,488,676,154,0,,,,,
,Diamond Bar,"58,355",909,911,2,12,41,54,202,488,110,2,,,,,
,Dinuba,"17,462","1,052","1,060",0,11,22,109,298,497,115,8,,,,,
,Dixon,"16,694",683,690,1,9,7,79,88,420,79,7,,,,,
,Downey,"111,266","3,651","3,667",1,17,195,224,556,"1,594","1,064",16,,,,,
,Duarte,"22,275",598,601,1,2,32,75,126,280,82,3,,,,,
,Dublin,"31,074",722,723,0,1,11,31,136,422,121,1,,,,,
,East Palo Alto,"30,590","1,200","1,200",7,16,132,113,236,493,203,0,,,,,
,El Cajon,"98,354","4,776","4,812",3,56,125,359,785,"2,556",892,36,,,,,
,El Centro,"39,225","1,590","1,599",1,14,49,257,564,504,201,9,,,,,
,El Cerrito,"24,023","1,716","1,723",0,1,90,41,223,"1,026",335,7,,,,,
,El Monte,"120,225","3,592","3,605",7,39,265,437,647,"1,392",805,13,,,,,
,El Segundo,"16,622",609,612,0,5,21,11,133,358,81,3,,,,,
,Encinitas,"60,145","1,597","1,604",0,13,42,122,358,873,189,7,,,,,
,Escondido,"138,466","5,495","5,516",4,40,165,399,960,"3,111",816,21,,,,,
,Eureka,"27,088","2,323","2,341",3,25,46,155,419,"1,461",214,18,,,,,
,Fairfield,"99,711","5,353","5,412",6,28,213,331,678,"3,426",671,59,,,,,
,Fillmore,"14,145",300,305,0,0,10,59,50,168,13,5,,,,,
,Folsom,"53,790","1,685","1,715",0,21,36,74,248,"1,182",124,30,,,,,
,Fontana,"133,665","4,312","4,349",7,45,274,587,843,"1,337","1,219",37,,,,,
,Fortuna,"10,883",265,271,0,5,5,9,61,165,20,6,,,,,
,Foster City,"29,861",502,506,0,5,7,24,87,341,38,4,,,,,
,Fountain Valley,"56,998","1,604","1,616",0,6,33,54,262,"1,072",177,12,,,,,
,Fremont,"210,886","5,704","5,729",3,32,134,221,"1,018","3,686",610,25,,,,,
,Fresno,"443,363","33,909","34,616",42,158,"1,479","2,101","4,476","18,478","7,175",707,,,,,
,Fullerton,"130,632","4,774","4,806",1,33,124,203,778,"3,055",580,32,,,,,
,Galt,"20,187",774,781,0,6,14,40,126,448,140,7,,,,,
,Gardena,"59,868","2,492","2,499",5,15,288,316,526,941,401,7,,,,,
,Garden Grove,"171,266","5,430","5,465",6,18,218,550,848,"2,875",915,35,,,,,
,Gilroy,"42,987","1,754","1,756",0,26,69,219,185,"1,083",172,2,,,,,
,Glendale,"202,136","4,535","4,585",9,21,186,279,913,"2,392",735,50,,,,,
,Glendora,"51,230","1,253","1,260",3,14,28,39,221,821,127,7,,,,,
,Grand Terrace,"12,053",315,315,0,2,17,8,59,163,66,0,,,,,
,Grass Valley,"11,323",632,633,0,4,4,38,103,433,50,1,,,,,
,Greenfield,"13,046",273,274,2,6,20,52,39,128,26,1,,,,,
,Grover Beach,"13,547",365,368,1,2,7,30,63,235,27,3,,,,,
,Half Moon Bay,"12,277",217,217,0,2,3,14,29,156,13,0,,,,,
,Hanford,"43,218","1,698","1,706",3,12,33,98,283,"1,085",184,8,,,,,
,Hawaiian Gardens,"15,322",634,642,0,8,43,65,94,302,122,8,,,,,
,Hawthorne,"87,202","3,067","3,077",5,35,307,319,618,"1,169",614,10,,,,,
,Hayward,"145,174","5,508","5,583",9,42,324,225,791,"2,756","1,361",75,,,,,
,Healdsburg,"11,116",374,376,0,4,6,15,115,211,23,2,,,,,
,Hemet,"60,972","2,794","2,806",1,23,112,111,828,"1,368",351,12,,,,,
,Hercules,"20,204",620,624,0,2,14,29,82,361,132,4,,,,,
,Hermosa Beach,"19,248",758,761,0,3,17,48,143,479,68,3,,,,,
,Hesperia,"64,882","2,079","2,089",1,13,50,123,584,980,328,10,,,,,
,Highland,"46,244","1,775","1,784",4,14,101,60,376,872,348,9,,,,,
,Hillsborough,"11,223",97,97,0,0,2,4,20,69,2,0,,,,,
,Hollister,"35,677","1,114","1,119",1,15,26,83,160,692,137,5,,,,,
,Huntington Beach,"196,559","4,385","4,418",3,36,84,216,856,"2,715",475,33,,,,,
,Huntington Park,"63,602","2,963","2,985",6,15,287,170,298,"1,178","1,009",22,,,,,
,Imperial Beach,"27,984",836,845,0,20,28,114,170,316,188,9,,,,,
,Indio,"50,921","2,332","2,333",9,28,117,342,616,663,557,1,,,,,
,Inglewood,"116,716","4,107","4,131",28,61,507,329,690,"1,522",970,24,,,,,
,Irvine,"148,328","3,624","3,640",1,20,62,78,867,"2,339",257,16,,,,,
,King City,"11,502",644,656,3,5,9,31,201,374,21,12,,,,,
,La Canada Flintridge,"21,064",438,439,0,1,9,14,185,207,22,1,,,,,
,Lafayette,"24,786",578,581,0,0,14,9,103,394,58,3,,,,,
,Laguna Beach,"24,599",692,695,1,2,4,39,146,470,30,3,,,,,
,Laguna Hills,"32,324",790,790,0,6,11,38,136,560,39,0,,,,,
,Laguna Niguel,"64,165","1,085","1,093",1,4,12,52,176,786,54,8,,,,,
,Laguna Woods,"17,113",115,115,0,0,1,3,16,85,10,0,,,,,
,La Habra,"61,141","1,824","1,847",0,11,40,106,298,"1,114",255,23,,,,,
,Lake Elsinore,"29,990","1,406","1,410",6,10,25,196,312,653,204,4,,,,,
,Lake Forest,"78,790","1,400","1,424",3,8,36,80,235,921,117,24,,,,,
,Lakewood,"82,260","3,112","3,130",1,14,132,191,419,"1,836",519,18,,,,,
,La Mesa,"56,760","2,357","2,369",2,11,89,105,375,"1,410",365,12,,,,,
,La Mirada,"48,502","1,040","1,048",1,4,57,94,191,502,191,8,,,,,
,Lancaster,"123,079","5,123","5,186",12,57,313,980,"1,179","1,893",689,63,,,,,
,La Palma,"15,975",332,334,0,2,13,15,86,184,32,2,,,,,
,La Puente,"42,572",932,941,6,14,62,147,159,353,191,9,,,,,
,La Quinta,"24,565","1,380","1,383",2,3,17,90,349,798,121,3,,,,,
,La Verne,"32,801",770,771,0,7,26,64,146,469,58,1,,,,,
,Lawndale,"32,876",975,981,1,8,89,163,274,294,146,6,,,,,
,Lemon Grove,"25,833",983,987,0,8,57,89,249,386,194,4,,,,,
,Lemoore,"20,436",845,855,0,9,15,57,107,546,111,10,,,,,
,Lincoln,"11,617",494,498,0,6,2,35,126,283,42,4,,,,,
,Lindsay,"10,676",557,558,1,4,4,95,110,253,90,1,,,,,
,Livermore,"76,039","2,209","2,243",3,13,43,89,421,"1,379",261,34,,,,,
,Livingston,"10,857",396,405,1,9,3,58,106,167,52,9,,,,,
,Lodi,"59,093","3,293","3,304",4,6,75,203,436,"2,083",486,11,,,,,
,Loma Linda,"19,367",823,827,2,1,19,25,150,438,188,4,,,,,
,Lomita,"20,782",598,601,0,5,34,76,135,288,60,3,,,,,
,Lompoc,"42,613","1,380","1,394",0,23,33,115,211,912,86,14,,,,,
,Long Beach,"478,478","19,303","19,556",67,144,"1,505","1,910","3,405","8,530","3,742",253,,,,,
,Los Alamitos,"11,960",285,288,0,2,6,24,54,159,40,3,,,,,
,Los Altos,"28,711",265,267,0,1,10,10,74,164,6,2,,,,,
,Los Angeles,"3,830,561","190,992","193,083",654,"1,415","17,197","32,429","25,374","79,813","34,110","2,091",,,,,
,Los Banos,"26,820",776,776,0,10,11,96,132,460,67,0,,,,,
,Los Gatos,"29,642",605,618,0,2,8,34,148,382,31,13,,,,,
,Lynwood,"72,411","2,570","2,622",14,30,310,536,371,643,666,52,,,,,
,Madera,"44,795","2,605","2,614",5,21,104,345,426,"1,320",384,9,,,,,
,Malibu,"13,037",335,339,0,0,5,30,90,191,19,4,,,,,
,Manhattan Beach,"35,095","1,113","1,118",0,4,34,45,279,644,107,5,,,,,
,Manteca,"51,068","2,570","2,589",2,12,63,102,399,"1,576",416,19,,,,,
,Marina,"26,023",499,501,0,5,26,47,86,320,15,2,,,,,
,Martinez,"37,184","1,321","1,324",0,1,20,34,238,821,207,3,,,,,
,Marysville,"12,719",851,851,0,14,24,87,133,462,131,0,,,,,
,Maywood,"29,114",584,585,1,10,55,66,82,207,163,1,,,,,
,Menlo Park,"31,916",742,745,0,8,26,37,128,500,43,3,,,,,
,Merced,"66,241","5,080","5,126",6,21,115,356,840,"3,175",567,46,,,,,
,Millbrae,"21,479",373,382,1,4,23,13,63,229,40,9,,,,,
,Mill Valley,"14,100",320,325,1,5,4,15,76,194,25,5,,,,,
,Milpitas,"65,001","2,229","2,235",0,16,38,145,280,"1,558",192,6,,,,,
,Mission Viejo,"96,522","1,670","1,678",1,7,19,89,216,"1,241",97,8,,,,,
,Modesto3,"195,795","12,981","13,027",5,71,344,593,"1,819","8,426","1,723",46,,,,,
,Monrovia,"38,286","1,079","1,087",0,7,51,82,195,609,135,8,,,,,
,Montclair,"34,263","2,139","2,144",1,8,78,152,303,"1,180",417,5,,,,,
,Montebello,"64,433","2,419","2,456",4,13,126,166,300,"1,151",659,37,,,,,
,Monterey,"30,764","1,369","1,371",0,15,31,86,255,907,75,2,,,,,
,Monterey Park,"62,257","1,739","1,743",1,5,114,59,413,755,392,4,,,,,
,Moorpark,"32,569",260,263,0,1,2,15,50,159,33,3,,,,,
,Moraga,"16,889",256,257,0,5,2,17,41,179,12,1,,,,,
,Moreno Valley,"147,612","6,902","6,937",7,51,278,907,"1,446","3,087","1,126",35,,,,,
,Morgan Hill,"34,789","1,035","1,061",1,8,18,49,178,705,76,26,,,,,
,Morro Bay,"10,731",221,221,0,4,0,20,53,132,12,0,,,,,
,Mountain View,"73,305","2,112","2,120",1,5,66,256,221,"1,448",115,8,,,,,
,Murrieta,"45,909","1,074","1,088",0,2,17,42,304,610,99,14,,,,,
,Napa,"75,252","2,326","2,343",0,22,32,204,285,"1,587",196,17,,,,,
,National City,"56,254","2,736","2,746",4,32,156,358,397,"1,100",689,10,,,,,
,Newark,"44,031","2,015","2,027",1,9,46,92,247,"1,403",217,12,,,,,
,Newport Beach,"72,605","2,554","2,570",2,5,26,67,535,"1,751",168,16,,,,,
,Norco,"25,045","1,010","1,019",0,4,30,69,233,557,117,9,,,,,
,Norwalk,"107,093","3,576","3,596",10,22,194,520,639,"1,340",851,20,,,,,
,Novato,"49,380","1,260","1,273",1,12,24,36,321,734,132,13,,,,,
,Oakdale,"16,073","1,178","1,188",0,6,21,27,305,724,95,10,,,,,
,Oakland,"414,161","29,875","30,229",108,249,"2,452","2,852","4,252","13,703","6,259",354,,,,,
,Oakley,"26,560",850,855,1,9,17,57,115,546,105,5,,,,,
,Oceanside,"166,945","6,964","7,004",5,75,285,751,"1,109","3,824",915,40,,,,,
,Ontario,"163,812","8,296","8,404",7,55,391,595,"1,139","4,390","1,719",108,,,,,
,Orange,"133,554","3,872","3,897",1,17,108,151,628,"2,435",532,25,,,,,
,Orinda,"18,246",321,321,1,0,3,3,91,202,21,0,,,,,
,Oroville,"13,482","1,233","1,248",0,1,47,14,308,690,173,15,,,,,
,Oxnard,"176,617","5,373","5,414",10,36,353,449,913,"3,034",578,41,,,,,
,Pacifica,"39,800",818,819,0,5,15,70,133,498,97,1,,,,,
,Pacific Grove,"16,092",325,326,1,7,2,18,91,198,8,1,,,,,
,Palmdale,"120,956","5,374","5,456",7,56,245,847,961,"2,521",737,82,,,,,
,Palm Desert,"42,667","2,193","2,198",0,9,37,105,536,"1,325",181,5,,,,,
,Palm Springs,"44,380","3,908","3,928",3,22,112,260,993,"2,061",457,20,,,,,
,Palo Alto,"60,751","1,778","1,795",1,7,45,54,223,"1,353",95,17,,,,,
,Palos Verdes Estates,"13,830",119,120,0,0,1,3,43,65,7,1,,,,,
,Paradise,"27,378","1,005","1,010",2,3,7,56,265,616,56,5,,,,,
,Paramount,"57,296","2,290","2,329",5,18,186,222,321,848,690,39,,,,,
,Parlier,"11,555",747,760,2,9,25,57,138,393,123,13,,,,,
,Pasadena,"138,857","4,881","4,941",3,25,255,374,959,"2,803",462,60,,,,,
,Paso Robles,"25,190",978,985,0,11,12,93,321,483,58,7,,,,,
,Patterson,"12,033",389,389,0,9,5,5,80,259,31,0,,,,,
,Perris,"37,519","1,749","1,761",1,7,56,173,343,757,412,12,,,,,
,Petaluma,"56,552","1,607","1,636",2,7,17,52,225,"1,209",95,29,,,,,
,Pico Rivera,"65,758","1,655","1,671",13,15,93,287,243,615,389,16,,,,,
,Piedmont,"11,355",224,225,0,1,7,2,53,115,46,1,,,,,
,Pinole,"19,739","1,140","1,148",0,2,50,43,105,665,275,8,,,,,
,Pittsburg,"58,854","2,922","2,929",6,14,84,105,417,"1,680",616,7,,,,,
,Placentia,"48,196",952,956,0,3,25,121,207,503,93,4,,,,,
,Pleasant Hill,"34,044","2,102","2,111",0,10,62,80,345,"1,384",221,9,,,,,
,Pleasanton,"65,993","1,795","1,805",2,8,19,52,192,"1,365",157,10,,,,,
,Pomona,"154,964","6,132","6,160",18,77,448,805,886,"2,681","1,217",28,,,,,
,Porterville,"41,070","1,817","1,822",1,15,46,113,350,979,313,5,,,,,
,Port Hueneme,"22,648",551,560,1,6,37,37,93,315,62,9,,,,,
,Poway,"49,809",971,982,0,5,11,81,243,537,94,11,,,,,
,Rancho Cucamonga,"132,436","3,966","4,001",2,29,99,149,744,"2,372",571,35,,,,,
