State,City,Population,Violent crime,Murder and non-negligent man-slaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,,
ALASKA,Anchorage,"271,085","1,744",17,244,340,"1,143","11,706","1,418","9,091","1,197",128,,,,,,
,Fairbanks,"31,021",289,4,42,42,201,"1,561",271,"1,158",132,13,,,,,,
,Juneau,"30,991",97,0,36,5,56,"1,236",99,"1,105",32,2,,,,,,
ARIZONA,ARIZONA,,,,,,,,,,,,,,,,,
,Apache Junction,"34,763",98,1,12,13,72,"1,880",432,"1,235",213,16,,,,,,
,Bullhead City,"36,268",215,4,3,21,187,"2,021",422,"1,433",166,10,,,,,,
,Camp Verde,"10,006",58,0,3,1,54,436,73,311,52,0,,,,,,
,Casa Grande,"29,351",281,0,7,42,232,"2,665",786,"1,578",301,19,,,,,,
,Chandler,"206,620",624,5,58,131,430,"10,332","1,819","7,006","1,507",54,,,,,,
,Cottonwood,"10,284",39,0,5,4,30,754,153,536,65,2,,,,,,
,Douglas,"16,816",44,0,6,4,34,741,120,542,79,10,,,,,,
,El Mirage,"13,557",123,4,8,21,90,819,272,391,156,6,,,,,,
,Flagstaff,"56,430",401,1,44,45,311,"4,614",643,"3,770",201,13,,,,,,
,Gilbert,"138,082",172,1,21,40,110,"5,358","1,609","3,169",580,26,,,,,,
,Glendale,"235,819","1,270",14,96,463,697,"13,642","2,593","7,459","3,590",93,,,,,,
,Goodyear,"28,367",72,1,8,6,57,"1,333",677,474,182,4,,,,,,
,Kingman,"22,595",105,2,6,21,76,"2,121",341,"1,604",176,3,,,,,,
,Lake Havasu City,"47,465",103,2,9,10,82,"1,881",263,"1,476",142,7,,,,,,
,Marana,"18,495",58,0,5,3,50,"1,043",182,732,129,3,,,,,,
,Mesa,"436,569","2,346",14,116,431,"1,785","26,127","4,112","17,452","4,563",45,,,,,,
,Nogales,"21,765",63,0,3,4,56,716,149,422,145,2,,,,,,
,Oro Valley,"34,436",21,0,0,5,16,717,93,578,46,5,,,,,,
,Paradise Valley,"14,423",15,0,1,2,12,526,319,177,30,4,,,,,,
,Payson,"14,458",31,0,1,2,28,518,66,429,23,6,,,,,,
,Peoria,"126,048",368,2,50,59,257,"5,736","1,026","3,563","1,147",15,,,,,,
,Phoenix,"1,403,228","9,722",241,526,"3,676","5,279","97,823","17,104","55,068","25,651",436,,,,,,
,Prescott,"37,127",159,1,7,24,127,"2,146",413,"1,627",106,14,,,,,,
,Prescott Valley,"26,747",105,0,7,5,93,908,138,702,68,7,,,,,,
,Scottsdale,"220,697",493,7,62,163,261,"9,475","2,315","5,659","1,501",57,,,,,,
,Sedona,"11,002",36,0,0,1,35,323,127,183,13,1,,,,,,
,Sierra Vista,"39,888",117,1,10,18,88,"1,782",237,"1,423",122,11,,,,,,
,Tempe,"163,143","1,013",7,74,299,633,"14,887","2,430","9,756","2,701",48,,,,,,
,Tucson,"514,618","4,709",47,330,"1,478","2,854","47,298","6,397","34,542","6,359",285,,,,,,
,Yuma,"82,189",517,1,40,47,429,"3,631",588,"2,538",505,36,,,,,,
ARKANSAS,Arkadelphia,"11,107",35,0,2,5,28,161,79,76,6,1,,,,,,
,Benton,"23,411",105,1,5,8,91,"1,504",395,"1,019",90,3,,,,,,
,Bentonville,"24,225",39,1,22,3,13,782,121,630,31,0,,,,,,
,Bryant,"10,576",14,0,0,0,14,404,43,340,21,0,,,,,,
,Camden,"12,697",67,3,10,14,40,699,139,529,31,4,,,,,,
,Conway,"46,180",81,0,16,18,47,"2,129",299,"1,723",107,2,,,,,,
,Fayetteville,"61,082",251,0,36,36,179,"2,895",292,"2,464",139,6,,,,,,
,Forrest City,"14,582",293,1,4,25,263,954,167,748,39,1,,,,,,
,Fort Smith,"81,989",804,12,74,135,583,"7,173","1,111","5,764",298,22,,,,,,
,Hot Springs,"36,566",392,3,18,80,291,"4,391",915,"3,246",230,17,,,,,,
,Jacksonville,"30,558",180,0,16,23,141,"1,683",439,"1,179",65,11,,,,,,
,Jonesboro,"57,216",332,4,12,107,209,"3,377",875,"2,359",143,7,,,,,,
,Little Rock,"185,117","2,858",44,129,896,"1,789","18,600","4,442","12,743","1,415",120,,,,,,
,Magnolia,"10,756",145,1,0,16,128,465,128,324,13,4,,,,,,
,Maumelle,"12,089",9,1,0,3,5,111,80,30,1,0,,,,,,
,Mountain Home,"11,207",12,0,4,0,8,353,22,317,14,2,,,,,,
,North Little Rock,"60,353",516,8,41,163,304,"5,270",809,"3,986",475,25,,,,,,
,Paragould,"22,739",11,0,6,4,1,350,47,250,53,0,,,,,,
,Pine Bluff,"54,482",578,16,44,150,368,"4,530","1,198","2,930",402,59,,,,,,
,Rogers,"41,785",68,0,30,7,31,"1,858",192,"1,603",63,8,,,,,,
,Searcy,"19,655",132,1,4,11,116,924,81,782,61,0,,,,,,
,Sherwood,"22,045",98,1,3,11,83,818,94,641,83,3,,,,,,
,Siloam Springs,"11,660",24,0,3,2,19,454,44,386,24,0,,,,,,
,Springdale,"51,235",160,0,32,19,109,"2,055",281,"1,639",135,12,,,,,,
,Van Buren,"19,891",63,0,5,6,52,873,265,567,41,0,,,,,,
CALIFORNIA,Adelanto,"19,067",87,1,4,29,53,525,246,177,102,13,,,,,,
,Agoura Hills,"21,932",60,0,4,9,47,309,75,209,25,6,,,,,,
,Alameda,"73,692",332,0,7,135,190,"2,729",381,"2,024",324,35,,,,,,
,Albany,"16,802",67,0,6,44,17,864,172,529,163,7,,,,,,
,Alhambra,"88,575",286,5,17,156,108,"2,475",443,"1,412",620,22,,,,,,
,Aliso Viejo,"41,022",43,0,1,4,38,483,98,327,58,14,,,,,,
,American Canyon,"12,279",10,0,1,1,8,347,90,191,66,0,,,,,,
,Anaheim,"336,132","1,319",9,76,410,824,"10,446","1,971","6,708","1,767",43,,,,,,
,Antioch,"100,918",714,6,15,223,470,"2,896",626,"1,354",916,30,,,,,,
,Apple Valley,"58,533",204,4,5,78,117,"2,125",529,"1,268",328,14,,,,,,
,Arcadia,"55,480",137,2,5,55,75,"1,540",383,987,170,10,,,,,,
,Arcata,"16,838",41,0,6,12,23,753,154,541,58,6,,,,,,
,Arroyo Grande,"16,461",27,0,3,3,21,379,79,278,22,3,,,,,,
,Artesia,"16,931",118,1,3,34,80,343,83,177,83,2,,,,,,
,Arvin,"13,797",64,1,3,12,48,670,155,441,74,26,,,,,,
,Atascadero,"27,194",66,1,8,4,53,846,182,602,62,10,,,,,,
,Atwater,"24,936",164,2,9,29,124,"1,106",332,622,152,11,,,,,,
,Auburn,"12,678",39,2,2,2,33,320,72,215,33,2,,,,,,
,Avenal,"15,494",36,0,6,3,27,168,76,84,8,13,,,,,,
,Azusa,"46,809",177,3,11,74,89,"1,469",343,873,253,5,,,,,,
,Bakersfield2,"263,707","1,514",24,41,439,"1,010","14,102","2,693","9,415","1,994",173,,,,,,
,Baldwin Park,"78,645",283,5,12,87,179,"1,673",288,757,628,10,,,,,,
,Banning,"25,858",194,2,10,26,156,630,311,206,113,0,,,,,,
,Barstow,"22,791",234,2,17,62,153,"1,233",328,662,243,8,,,,,,
,Beaumont,"13,413",62,0,5,12,45,479,131,260,88,2,,,,,,
,Bell,"37,751",213,2,9,59,143,588,157,190,241,0,,,,,,
,Bellflower,"75,307",480,7,24,219,230,"2,531",488,"1,370",673,21,,,,,,
,Bell Gardens,"45,745",298,10,11,79,198,"1,039",207,353,479,2,,,,,,
,Belmont,"25,076",38,1,4,8,25,509,131,330,48,0,,,,,,
,Benicia,"27,444",38,1,3,8,26,553,169,292,92,8,,,,,,
,Berkeley,"104,727",926,6,16,402,502,"8,695","1,245","6,217","1,233",32,,,,,,
,Beverly Hills,"35,223",138,0,6,73,59,"1,154",302,771,81,4,,,,,,
,Blythe,"21,600",164,1,6,20,137,705,222,457,26,17,,,,,,
,Brawley,"22,071",147,3,5,38,101,"1,136",326,700,110,9,,,,,,
,Brea,"37,411",68,0,6,29,33,"1,589",241,"1,213",135,6,,,,,,
,Brentwood,"31,858",53,2,5,6,40,"1,259",177,884,198,10,,,,,,
,Buena Park,"79,844",326,2,21,115,188,"1,945",399,"1,172",374,26,,,,,,
,Burbank,"103,993",283,3,15,69,196,"2,694",500,"1,728",466,19,,,,,,
,Burlingame,"28,064",62,0,10,18,34,"1,026",111,813,102,13,,,,,,
,Calabasas,"20,906",31,0,2,4,25,332,76,225,31,2,,,,,,
,Calexico,"31,069",58,1,0,33,24,"1,050",357,329,364,13,,,,,,
,Camarillo,"60,068",98,1,10,15,72,"1,071",224,772,75,43,,,,,,
,Campbell,"37,867",60,0,9,26,25,"1,030",166,783,81,25,,,,,,
,Canyon Lake,"10,754",25,0,1,1,23,140,31,85,24,0,,,,,,
,Capitola,"10,053",74,1,2,16,55,"1,077",127,926,24,0,,,,,,
,Carlsbad,"87,548",266,4,14,64,184,"2,199",496,"1,445",258,13,,,,,,
,Carpinteria,"14,383",24,0,3,7,14,246,63,164,19,0,,,,,,
,Carson,"93,904",731,12,15,207,497,"2,685",509,"1,453",723,47,,,,,,
,Cathedral City,"46,781",224,2,16,48,158,"1,785",556,849,380,0,,,,,,
,Ceres,"37,092",200,0,12,44,144,"2,234",380,"1,330",524,11,,,,,,
,Cerritos,"53,172",199,2,7,97,93,"1,972",328,"1,261",383,6,,,,,,
,Chico,"66,595",265,1,47,63,154,"2,622",818,"1,378",426,55,,,,,,
,Chino,"70,695",243,2,15,88,138,"2,366",459,"1,387",520,47,,,,,,
,Chino Hills,"73,053",73,1,2,20,50,"1,093",247,673,173,13,,,,,,
,Chowchilla,"14,460",48,0,3,4,41,329,98,184,47,20,,,,,,
,Chula Vista,"195,954",776,7,48,249,472,"7,106","1,004","3,954","2,148",43,,,,,,
,Claremont,"35,196",76,0,11,29,36,"1,108",308,704,96,4,,,,,,
,Clayton,"11,153",6,0,0,0,6,159,20,130,9,4,,,,,,
,Clearlake,"14,118",86,1,3,12,70,890,359,433,98,10,,,,,,
,Clovis,"75,285",162,9,18,42,93,"3,042",487,"2,144",411,24,,,,,,
,Coachella,"27,463",173,3,8,35,127,945,201,542,202,5,,,,,,
,Coalinga,"16,219",35,0,1,1,33,408,114,270,24,2,,,,,,
,Colton,"50,356",220,4,18,90,108,"2,320",456,"1,306",558,14,,,,,,
,Commerce,"13,256",146,2,3,59,82,"1,089",155,518,416,15,,,,,,
,Compton,"96,562","1,549",43,41,444,"1,021","2,340",548,991,801,136,,,,,,
,Concord,"126,539",398,4,22,136,236,"5,253",882,"3,358","1,013",5,,,,,,
,Corcoran,"21,149",31,0,2,9,20,273,94,164,15,0,,,,,,
,Corona,"139,777",280,6,33,125,116,"4,028",673,"2,547",808,35,,,,,,
,Coronado,"24,112",35,0,5,3,27,600,104,424,72,11,,,,,,
,Costa Mesa,"111,281",304,1,42,112,149,"3,586",516,"2,665",405,14,,,,,,
,Covina,"48,523",205,1,16,95,93,"2,043",425,"1,302",316,8,,,,,,
,Cudahy,"25,428",158,2,6,46,104,520,88,223,209,6,,,,,,
,Culver City,"40,114",181,2,5,131,43,"1,176",226,795,155,6,,,,,,
,Cupertino,"50,530",77,1,8,18,50,"1,174",184,954,36,18,,,,,,
,Cypress,"47,745",74,1,9,27,37,"1,051",191,748,112,6,,,,,,
,Daly City,"102,970",344,0,24,154,166,"2,172",242,"1,490",440,13,,,,,,
,Dana Point,"36,180",81,1,4,11,65,649,129,448,72,11,,,,,,
,Danville,"43,012",39,0,0,8,31,645,126,464,55,1,,,,,,
,Davis,"64,895",191,0,28,23,140,"2,247",392,"1,631",224,60,,,,,,
,Delano,"42,534",124,4,14,35,71,"2,122",460,"1,156",506,52,,,,,,
,Desert Hot Springs,"17,492",252,0,14,65,173,"1,415",625,644,146,0,,,,,,
,Diamond Bar,"58,527",93,1,2,27,63,900,225,518,157,10,,,,,,
,Dinuba,"17,772",134,0,8,14,112,"1,049",226,686,137,12,,,,,,
,Dixon,"16,432",44,0,1,7,36,653,118,480,55,17,,,,,,
,Downey2,"110,992",505,7,25,216,257,"3,576",588,"1,819","1,169",4,,,,,,
,Duarte,"22,304",93,0,8,35,50,449,95,282,72,2,,,,,,
,Dublin,"34,705",84,0,5,18,61,675,129,417,129,2,,,,,,
,East Palo Alto,"32,042",312,9,19,97,187,"1,159",339,600,220,5,,,,,,
,El Cajon,"96,558",556,5,43,154,354,"4,339",887,"2,300","1,152",25,,,,,,
,El Centro,"38,079",325,0,7,52,266,"1,675",584,893,198,4,,,,,,
,El Cerrito,"23,760",156,0,4,107,45,"1,639",264,954,421,3,,,,,,
,El Monte,"121,176",730,3,24,217,486,"3,192",651,"1,586",955,24,,,,,,
,El Segundo,"16,557",43,0,1,27,15,679,146,431,102,0,,,,,,
,Encinitas,"60,423",150,0,10,40,100,"1,377",329,804,244,7,,,,,,
,Escondido,"137,334",591,5,46,161,379,"5,054",963,"3,094",997,32,,,,,,
,Eureka,"26,137",186,1,25,59,101,"2,043",421,"1,352",270,34,,,,,,
,Fairfield,"103,004",621,12,36,177,396,"4,752",660,"3,394",698,41,,,,,,
,Fillmore,"15,076",70,2,3,7,58,218,56,133,29,2,,,,,,
,Folsom,"61,899",119,0,16,24,79,"1,638",360,"1,131",147,16,,,,,,
,Fontana,"145,114",897,18,51,263,565,"3,547",745,"1,405","1,397",38,,,,,,
,Fortuna,"10,813",28,0,3,7,18,543,83,430,30,5,,,,,,
,Foster City,"29,500",46,0,3,6,37,513,99,379,35,8,,,,,,
,Fountain Valley,"56,136",108,0,9,43,56,"1,449",254,"1,037",158,6,,,,,,
,Fremont,"209,026",433,2,34,140,257,"5,693","1,059","3,876",758,12,,,,,,
,Fresno,"449,898","3,505",37,164,"1,215","2,089","27,196","3,927","17,608","5,661",602,,,,,,
,Fullerton,"130,194",363,5,37,120,201,"4,599",784,"3,222",593,46,,,,,,
,Galt,"22,555",58,2,7,11,38,925,204,547,174,7,,,,,,
,Gardena,"60,283",527,3,17,269,238,"1,683",396,850,437,3,,,,,,
,Garden Grove,"169,186",732,6,27,211,488,"4,602",754,"2,814","1,034",37,,,,,,
,Gilroy,"43,598",275,1,14,48,212,"1,587",224,"1,183",180,4,,,,,,
,Glendale,"201,522",363,6,18,146,193,"3,876",800,"2,283",793,50,,,,,,
,Glendora,"51,098",76,0,5,29,42,"1,248",202,921,125,6,,,,,,
,Goleta,"28,926",40,0,6,7,27,446,91,314,41,8,,,,,,
,Grand Terrace,"12,194",23,0,2,9,12,335,63,205,67,3,,,,,,
,Grass Valley,"11,248",82,0,11,13,58,539,102,368,69,4,,,,,,
,Greenfield,"13,071",95,0,2,22,71,348,105,199,44,1,,,,,,
,Grover Beach,"13,214",36,0,3,5,28,334,66,249,19,2,,,,,,
,Half Moon Bay,"12,108",27,0,3,7,17,222,44,168,10,0,,,,,,
,Hanford,"44,815",162,1,15,38,108,"1,614",251,"1,172",191,12,,,,,,
,Hawaiian Gardens,"15,396",156,4,1,66,85,479,100,272,107,5,,,,,,
,Hawthorne,"86,836",694,12,30,294,358,"2,362",747,"1,034",581,9,,,,,,
,Hayward,"144,215",600,8,41,257,294,"5,125",847,"2,647","1,631",58,,,,,,
,Healdsburg,"11,217",38,0,2,12,24,376,136,213,27,0,,,,,,
,Hemet,"64,032",438,1,29,107,301,"2,957",801,"1,819",337,26,,,,,,
,Hercules,"20,444",38,0,0,20,18,552,75,317,160,4,,,,,,
,Hermosa Beach,"19,483",81,1,6,15,59,645,154,446,45,3,,,,,,
,Hesperia,"67,724",155,3,11,45,96,"1,962",510,"1,092",360,15,,,,,,
,Highland,"47,579",201,7,12,101,81,"1,434",307,762,365,16,,,,,,
,Hillsborough,"10,815",7,0,0,0,7,62,21,37,4,0,,,,,,
,Hollister,"36,831",201,2,10,23,166,"1,252",293,845,114,11,,,,,,
,Huntington Beach,"195,832",411,3,44,101,263,"4,118",961,"2,716",441,21,,,,,,
,Huntington Park,"63,637",544,8,19,320,197,"2,908",239,"1,416","1,253",18,,,,,,
,Imperial Beach,"27,521",144,0,8,34,102,855,236,438,181,11,,,,,,
,Indio,"54,790",443,9,20,100,314,"2,823",827,"1,397",599,1,,,,,,
,Inglewood,"116,165","1,091",32,56,581,422,"3,273",801,"1,242","1,230",14,,,,,,
,Irvine,"163,823",144,2,18,51,73,"3,310",816,"2,238",256,50,,,,,,
,King City,"11,401",42,0,0,10,32,516,143,330,43,0,,,,,,
,Kingsburg,"10,166",12,0,0,3,9,393,68,234,91,2,,,,,,
,La Canada Flintridge,"21,076",22,1,0,7,14,260,82,164,14,0,,,,,,
,Lafayette,"24,804",28,0,2,11,15,610,98,447,65,0,,,,,,
,Laguna Beach,"24,423",55,0,4,7,44,583,151,381,51,3,,,,,,
,Laguna Hills,"33,980",45,1,3,9,32,661,108,484,69,17,,,,,,
,Laguna Niguel,"63,719",78,0,1,23,54,957,165,728,64,12,,,,,,
,Laguna Woods,"16,687",8,0,0,3,5,94,13,70,11,0,,,,,,
,La Habra,"60,613",225,5,8,56,156,"1,568",278,"1,060",230,17,,,,,,
,Lake Elsinore,"32,200",229,0,7,38,184,"1,166",230,714,222,2,,,,,,
,Lake Forest,"77,749",107,0,3,30,74,"1,231",255,848,128,13,,,,,,
,Lakewood,"81,901",340,4,17,146,173,"2,820",398,"1,892",530,11,,,,,,
,La Mesa,"55,543",173,2,12,66,93,"2,126",358,"1,214",554,15,,,,,,
,La Mirada,"48,987",161,1,8,46,106,"1,052",221,609,222,6,,,,,,
,Lancaster,"125,899","1,270",18,68,322,862,"4,035","1,075","2,026",934,60,,,,,,
,La Palma,"15,939",29,0,1,8,20,297,80,179,38,1,,,,,,
,La Puente,"42,448",243,10,7,61,165,818,156,408,254,6,,,,,,
,La Quinta,"30,358",77,3,7,15,52,"1,349",391,836,122,4,,,,,,
,La Verne,"33,054",75,1,7,23,44,788,159,559,70,6,,,,,,
,Lawndale,"32,728",192,2,9,81,100,611,182,248,181,7,,,,,,
,Lemon Grove,"25,320",145,1,4,50,90,830,232,361,237,3,,,,,,
,Lemoore,"21,297",75,1,5,15,54,672,106,482,84,4,,,,,,
,Lincoln,"19,882",47,0,7,7,33,567,154,350,63,6,,,,,,
,Lindsay,"10,634",108,1,3,15,89,468,150,267,51,6,,,,,,
,Livermore,"77,433",145,1,19,37,88,"1,925",417,"1,244",264,21,,,,,,
,Livingston,"11,364",63,0,4,10,49,349,139,158,52,7,,,,,,
,Lodi,"61,292",263,1,11,49,202,"3,298",416,"2,338",544,18,,,,,,
,Loma Linda,"20,021",44,0,1,17,26,823,143,482,198,5,,,,,,
,Lomita,"20,697",117,0,4,38,75,468,107,295,66,6,,,,,,
,Lompoc,"41,823",225,0,24,44,157,974,226,673,75,28,,,,,,
,Long Beach,"477,368","3,579",49,136,"1,411","1,983","14,823","3,003","8,072","3,748",217,,,,,,
,Los Alamitos,"11,833",45,0,4,20,21,303,75,182,46,7,,,,,,
,Los Altos,"27,601",17,0,1,4,12,276,82,183,11,3,,,,,,
,Los Angeles,"3,838,838","48,824",515,"1,226","16,577","30,506","135,781","25,115","77,111","33,555","2,072",,,,,,
,Los Banos,"29,835",216,0,12,21,183,901,233,563,105,4,,,,,,
,Los Gatos,"28,505",36,1,3,12,20,527,118,368,41,11,,,,,,
,Lynwood,"72,136",919,15,19,307,578,"1,687",328,612,747,64,,,,,,
,Madera,"46,699",478,2,30,145,301,"1,923",471,"1,054",398,5,,,,,,
,Malibu,"13,223",50,0,5,8,37,350,77,232,41,5,,,,,,
,Manhattan Beach,"35,873",62,1,10,25,26,"1,122",264,775,83,2,,,,,,
,Manteca,"57,501",195,2,6,60,127,"2,702",415,"1,787",500,33,,,,,,
,Marina,"21,368",84,0,7,38,39,467,147,306,14,5,,,,,,
,Martinez,"37,092",89,0,7,25,57,"1,267",244,833,190,0,,,,,,
,Marysville,"12,651",116,1,11,25,79,681,132,450,99,0,,,,,,
,Maywood,"29,011",183,1,1,53,128,489,74,212,203,3,,,,,,
,Menlo Park,"30,595",66,0,6,27,33,841,182,600,59,2,,,,,,
,Merced,"68,941",636,7,29,168,432,"4,716",882,"3,182",652,51,,,,,,
,Millbrae,"20,530",30,1,1,14,14,318,69,210,39,2,,,,,,
,Mill Valley,"13,699",13,0,2,4,7,315,83,210,22,1,,,,,,
,Milpitas,"64,368",200,3,23,38,136,"2,203",301,"1,663",239,3,,,,,,
,Mission Viejo,"97,317",114,1,4,25,84,"1,468",244,"1,136",88,20,,,,,,
,Modesto,"205,691","1,409",17,73,380,939,"12,600","1,743","8,463","2,394",112,,,,,,
,Monrovia,"38,245",106,2,9,38,57,"1,011",198,642,171,8,,,,,,
,Montclair,"34,738",194,0,14,62,118,"2,229",293,"1,416",520,3,,,,,,
,Montebello,"64,274",248,4,17,88,139,"2,007",237,"1,138",632,21,,,,,,
,Monterey,"29,960",157,1,12,36,108,"1,281",221,990,70,8,,,,,,
,Monterey Park,"62,471",167,1,6,99,61,"1,380",272,654,454,5,,,,,,
,Moorpark,"34,940",40,0,3,7,30,323,54,239,30,2,,,,,,
,Moraga,"16,861",18,0,0,2,16,236,50,175,11,8,,,,,,
,Moreno Valley2,"152,355",810,4,67,271,468,"5,674","1,481","3,214",979,22,,,,,,
,Morgan Hill,"34,146",63,0,7,18,38,"1,102",198,806,98,14,,,,,,
,Morro Bay,"10,614",26,0,4,0,22,208,54,150,4,3,,,,,,
,Mountain View,"70,781",291,1,6,42,242,"1,837",209,"1,489",139,11,,,,,,
,Murrieta,"54,668",64,0,8,25,31,"1,132",291,759,82,0,,,,,,
,Napa,"75,819",306,0,26,48,232,"2,450",308,"1,969",173,14,,,,,,
,National City,"56,124",546,9,33,155,349,"2,740",337,"1,407",996,13,,,,,,
,Newark,"43,786",183,1,18,53,111,"2,063",324,"1,478",261,9,,,,,,
,Newport Beach,"78,915",115,0,16,27,72,"2,526",666,"1,671",189,8,,,,,,
,Norco,"26,109",143,0,2,25,116,875,258,485,132,5,,,,,,
,Norwalk,"107,197",690,9,23,201,457,"2,827",629,"1,404",794,20,,,,,,
,Novato,"48,636",69,0,7,19,43,"1,193",244,745,204,22,,,,,,
,Oakdale,"17,072",41,0,8,14,19,"1,167",324,709,134,6,,,,,,
,Oakland,"407,003","5,613",109,268,"2,474","2,762","22,630","4,568","12,551","5,511",334,,,,,,
,Oakley,"26,481",103,0,8,12,83,735,98,495,142,2,,,,,,
,Oceanside,"167,620","1,090",8,63,332,687,"5,490","1,114","3,637",739,20,,,,,,
,Ontario,"166,796",904,11,47,323,523,"7,472","1,019","4,331","2,122",123,,,,,,
,Orange,"132,987",262,1,10,97,154,"3,376",440,"2,423",513,26,,,,,,
,Orinda,"18,259",12,0,0,4,8,315,65,216,34,0,,,,,,
,Oroville2,"13,249",145,1,10,23,111,"1,238",392,675,171,2,,,,,,
,Oxnard,"179,851",808,22,37,352,397,"4,719",975,"3,156",588,47,,,,,,
,Pacifica,"38,167",65,1,7,15,42,611,126,401,84,2,,,,,,
,Pacific Grove,"15,812",23,0,3,6,14,289,61,212,16,0,,,,,,
,Palmdale,"125,651",920,11,43,284,582,"4,819","1,009","2,961",849,63,,,,,,
,Palm Springs,"44,993",390,5,29,90,266,"3,356",924,"2,039",393,25,,,,,,
,Palo Alto,"58,147",88,2,5,40,41,"1,968",276,"1,606",86,45,,,,,,
,Palos Verdes Estates,"13,894",1,0,0,0,1,136,45,84,7,0,,,,,,
,Paradise,"27,024",63,0,7,7,49,969,320,597,52,9,,,,,,
,Paramount,"57,082",430,10,14,182,224,"2,083",331,"1,060",692,34,,,,,,
,Parlier,"12,422",105,0,8,20,77,569,74,344,151,7,,,,,,
